fly_name,type,species,materials,tutorials
Adams #16,Dry,trout,hook: dry #16; thread: 8/0 gray; tail: grizzly + brown hackle; body: dubbing gray; hackle: grizzly + brown,
Parachute Adams #14,Dry,trout,hook: dry #14; thread: 8/0 gray; tail: grizzly hackle fibers; body: superfine dubbing gray; post: white poly yarn; hackle: grizzly rooster,
Parachute Adams (olive) #16,Dry,trout,hook: dry #16; thread: 8/0 olive; tail: grizzly hackle fibers; body: superfine dubbing olive; post: white poly yarn; hackle: grizzly rooster,
Elk Hair Caddis (tan) #14,Dry,trout;panfish,hook: dry #14; thread: 8/0 brown; body: dry dubbing tan; rib: gold wire; wing: elk hair; hackle: brown rooster saddle,
Elk Hair Caddis (olive) #16,Dry,trout;panfish,hook: dry #16; thread: 8/0 brown; body: dry dubbing olive; rib: gold wire; wing: elk hair; hackle: brown rooster saddle,
Royal Wulff #12,Dry,trout;panfish,hook: dry #12; thread: 6/0 black; tail: moose body hair; body: peacock herl + floss red band; wing: calf tail white; hackle: brown + grizzly,
Griffith's Gnat #18,Dry,trout,hook: dry #18; thread: 8/0 black; body: peacock herl; hackle: grizzly rooster (palmered),
Stimulator (orange) #10,Dry/Terrestrial,trout,hook: dry #10 2xl; thread: 6/0 orange; tail: elk hair; body: dubbing orange; rib: gold wire; hackle: brown; wing: elk hair; front hackle: grizzly,
Chubby Chernobyl (tan) #8,Dry/Terrestrial,trout,hook: dry #8 2xl; thread: 140d tan; body: foam tan; wing: white poly; legs: barred rubber; indicator: foam white,
Hopper (tan) #10,Dry/Terrestrial,trout,hook: dry #10 2xl; thread: 140d tan; body: foam tan; legs: barred rubber; wing: elk hair; indicator: foam white,
Ant (black) #16,Dry/Terrestrial,trout;panfish,hook: dry #16; thread: 8/0 black; body: superfine dubbing black; wing: antron white (optional),
Beetle (foam) #12,Dry/Terrestrial,trout,hook: dry #12; thread: 8/0 black; body: foam black; indicator: foam white; legs: rubber black,
Usual #16,Dry,trout,hook: dry #16; thread: 8/0 cream; tail: snowshoe rabbit foot; body: snowshoe rabbit foot,
Hendrickson Sparkle Dun #14,Dry,trout,hook: dry #14; thread: 8/0 tan; tail: microfibetts; shuck: antron amber; body: dubbing hendrickson tan; wing: comparadun deer hair,
BWO Sparkle Dun #18,Dry,trout,hook: dry #18; thread: 8/0 olive; tail: microfibetts; shuck: antron brown; body: superfine dubbing olive; wing: comparadun deer hair,
Sulphur CDC Comparadun #16,Dry,trout,hook: dry #16; thread: 8/0 yellow; tail: microfibetts; body: superfine dubbing sulphur; wing: CDC dun,
March Brown (Sparkle Dun) #12,Dry,trout,hook: dry #12; thread: 8/0 brown; tail: microfibetts; shuck: antron amber; body: dubbing brown; wing: comparadun deer,
